Year,Softwood Harvest,Softwood AAC,Hardwood Harvest,Hardwood AAC
1990,141169,187674,15237,61887
1991,138508,185207,15699,61621
1992,146807,181945,16938,60433
1993,150480,179467,19097,59610
1994,154170,178870,23212,60341
1995,157444,176063,25713,59547
1996,151310,175993,26635,60287
1997,153764,177064,29767,61645
1998,142767,176406,31135,61636
1999,159354,176990,31633,61778
2000,162420,174398,34937,60473
2001,151625,176556,33030,60316
2002,159642,177438,33601,60128
2003,143337,178624,34874,60161
2004,168365,185816,36764,60075
2005,165096,183376,35154,60659
2006,148937,186213,32109,59974
2007,134486,190381,26873,60300
2008,113326,189450,22716,60073
2009,  93754,183766,20333,57552
2010,116144,180429,22475,55772
2011,120814,174629,25258,55525
2012,124346,172433,23782,54503
